"","Slide..","PMN_1","Necrosis_1","Abscess_1","Bacteria_1","Alveolar.Hemorrhage_1","Edema_1","Hyaline.membranes_1","Desquamated.epithelial_1","AT.2.pneumocyte.hyperplasia_1","Hemophagocytosis_1","Lymphoplasmacytic_1","Hemosiderosis_1","Arterial.thrombi_1","Multinucleated_1","Granuloma_1","Fibrosis_1","Peribronchiolar.metaplasia_1","vasculitis_1","Fibrin_alveoli"
"36","3258",0,0,0,0,0,1,0,0,0,0,3,0.5,0,0,0,0,0,0,0
"37","3259",3,2.5,0,3,0.5,3,0.5,0,0,0,1.5,0,0,0,0,0.5,0,0,3
"38","3260",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"39","3261",0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0
"40","3262",2.5,0.5,0,2.5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1
"41","3263",0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0
"42","3264",3,0.5,0,2,0.5,2.5,0,0,0,0,1,0,0,0,0,0,0.5,0,1
"43","3265",0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0
"44","3266",3,1.5,0,2.5,0.5,2.5,0,0,0,0,1,0,0,0,0,0,0,0,2
"45","3267",3,0.5,0,2.5,0.5,2.5,0.5,0,0,0,1,0,0,0,0,0,0,0,1
"46","3268",0.5,0,0,0,0.5,1,0,0,0.5,0,2.5,0,0,0,0,1.5,0,0,0
"47","3269",0.5,0,0,0,0,1,0,0,0.5,0,3,0,0,0,0,1,0,0,0
"48","3270",0.5,0,0,0,0,0.5,0,0,0,0,2,0,0,0,0,0.5,0,0,0
"49","3271",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"50","3272",3,1.5,0,3,0.5,2.5,1,0,0,0,1,0,0,0,0,0,0,0,2
"51","3273",3,0,0,2.5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"52","3274",3,0,0,2.5,0.5,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"53","3275",3,1.5,0,2.5,0.5,3,0,0,0,0,1,0,0,0,0,0,0,0,3
"54","3276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","3277",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"56","3278",0.5,0,0,0,0,0,0.5,0,0,0,2,0,0,0,0,0,0,0,1
"57","3279",0.5,0,0,0,0.5,0.5,0,0,0,0,2.5,0.5,0,0,0,0,0,0,0
"58","3280",0.5,0,0,0,0,1,0.5,0,0,0,2.5,0.5,0,0,0,0,0,0,1
"59","3281",3,0.5,0,2.5,0,1.5,0,0,0,0,1,0,0,0,0,0,0,0,1
"60","4091",3,2,0,0.5,1,3,0,0,0,0,0.5,0,0,0,0,0.5,0,0,3
"61","4092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","4093",3,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3
"63","4094",3,1,0.5,1,1,2,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,2
"64","4095",3,1,0,1,0,2,0,0,0.5,0,0.5,0,0,0,0,0,0,0,2
"65","4096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","4097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","4098",3,2,0,1,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,3
"68","4099",3,2,0,0.5,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,3
"69","4100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","4101",3,1.5,0,3,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,3
"71","4559",2,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","4560",3,1,0,2.5,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
"73","4561",1.5,0.5,0,1.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","4562",2,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"75","4563",2.5,1,0,2.5,0.5,2,0,0,0,0,0.5,0,0,0,0,0,0,2,0
"76","4564",2,0.5,0,1,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"77","4565",2,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1.5,0
"78","4566",1.5,1,0.5,1,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,1
"79","4652",2.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","4653",3,2.5,0,2.5,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,3
"81","4654",3,1.5,0,2.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"82","4655",3,1.5,0,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
"83","4656",3,2,0,2.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1
"84","4657",3,2.5,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3
"85","4658",3,1.5,0,1.5,0.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2
"86","4936",2,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0
"87","4937",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"88","4938",0,0,0,0,1,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0
"89","4939",0.5,0,0,0,0,0.5,0,0,0.5,0,1.5,0,0,0,0,0,0,0,0
"90","4940",0.5,0,0,0,0,0,0,0,0.5,0,2,0,0,0.5,0,0,0,0,0
"91","4941",0.5,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0
"92","5084",0.5,0,0,0,0,0,0,0,0,0.5,1.5,0,0,0,0,0,0,0.5,0
"93","5085",0.5,0,0,0,0,1.5,2,0,0,0,1.5,0,0,0,0,0,0,0,2
"94","5086",1,0,0,0,0,1.5,2,0,0,0,2,0,0,0,0,0,0,0,2
"95","5087",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"96","5088",0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"97","5089",0,0,0,0,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0
"98","5090",0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0
"99","5091",0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0
"100","5092",0.5,0,0,0,0,0,0.5,0,0,0,1.5,0,0,0,0,0,0,0,1
